央视频道,#genre#
凤凰资讯,http://183.204.13.237/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://183.204.13.13/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8

电影频道,#genre#
重温经典,http://mtw.so/5NPX0U
4K影院,http://159.75.85.63:35455/douyu/9249162
豆瓣高分,http://159.75.85.63:35455/douyu/8770422
星爷影院代,http://159.75.85.63:35455/douyu/508118
粤语电影,http://43.138.170.29:35455/douyu/6566671
國語電影,http://159.75.85.63:35455/douyu/2436390
经典电影,http://111.199.239.209:3568/rtp/239.3.1.195:9024
全球大片,http://182.136.215.165:4022/udp/239.93.0.105:5140
华语影院,http://182.136.215.165:4022/udp/239.93.0.138:5140
谍战剧场,http://182.136.215.165:4022/udp/239.93.0.95:5140
漫威剧情,http://159.75.85.63:35455/douyu/6140589
欧美大片,http://159.75.85.63:35455/douyu/2793084
喜剧电影,http://43.138.170.29:35455/douyu/9292492
经典TVB功夫,https://ali.hlspull.yximgs.com/live/12344.flv
华语经典,http://159.75.85.63:35455/douyu/434971
恐怖惊悚,http://159.75.85.63:35455/douyu/96577
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
神乐影院,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
可乐影院,http://159.75.85.63:35455/douyu/20415
電影劇場,http://159.75.85.63:35455/douyu/7575350
吃米滴虫1,http://159.75.85.63:35455/douyu/315457
吃奶滴虫2,http://159.75.85.63:35455/douyu/263824
小黛兮影,http://159.75.85.63:35455/douyu/11553944
邵氏影院,http://159.75.85.63:35455/douyu/4246519
贝爷影厅,http://159.75.85.63:35455/douyu/252802
麓山迷踪,http://159.75.85.63:35455/douyu/4505431
恐怖经典,http://43.138.170.29:35455/douyu/1165374
